 Downloading crates ...
  Downloaded num_threads v0.1.7
  Downloaded num-conv v0.1.0
  Downloaded lazy_static v1.5.0
  Downloaded itoa v1.0.15
  Downloaded instant v0.1.13
  Downloaded hash32 v0.2.1
  Downloaded fscommon v0.1.1
  Downloaded foldhash v0.1.5
  Downloaded float-cmp v0.9.0
  Downloaded fastrand v2.3.0
  Downloaded errno v0.3.13
  Downloaded equivalent v1.0.2
  Downloaded embedded-io v0.6.1
  Downloaded embedded-hal-async v1.0.0
  Downloaded either v1.15.0
  Downloaded downcast-rs v1.2.1
  Downloaded dlib v0.5.2
  Downloaded display-interface-spi v0.5.0
  Downloaded display-interface v0.5.0
  Downloaded deranged v0.4.0
  Downloaded cty v0.2.2
  Downloaded crossbeam-utils v0.8.21
  Downloaded crossbeam-deque v0.8.6
  Downloaded core-foundation-sys v0.8.7
  Downloaded conan2 v0.1.7
  Downloaded color_quant v1.1.0
  Downloaded cobs v0.3.0
  Downloaded cexpr v0.6.0
  Downloaded cc v1.2.30
  Downloaded byte-slice-cast v1.2.3
  Downloaded bumpalo v3.19.0
  Downloaded bitflags v1.3.2
  Downloaded az v1.2.1
  Downloaded autocfg v1.5.0
  Downloaded allocator-api2 v0.2.21
  Downloaded cfg-if v1.0.1
  Downloaded byteorder v1.5.0
  Downloaded ahash v0.8.12
   Compiling proc-macro2 v1.0.95
   Compiling unicode-ident v1.0.18
    Checking cfg-if v1.0.1
   Compiling autocfg v1.5.0
   Compiling serde v1.0.219
   Compiling crossbeam-utils v0.8.21
    Checking once_cell v1.21.3
error[E0463]: can't find crate for `std`
  |
  = note: the `thumbv7em-none-eabihf` target may not support the standard library
  = note: `std` is required by `once_cell` because it does not declare `#![no_std]`

error[E0463]: can't find crate for `std`
 --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:6:5
  |
6 | use std::{
  |     ^^^ can't find crate
  |
  = note: the `thumbv7em-none-eabihf` target may not support the standard library

error: cannot find macro `panic` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:753:47
    |
753 |                 init.take().unwrap_or_else(|| panic!("Lazy instance has previously been poisoned"))
    |                                               ^^^^^
    |
help: consider importing this macro
    |
384 +     use core::panic;
    |

error: cannot find macro `panic` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:776:25
    |
776 |                 None => panic!("Lazy instance has previously been poisoned"),
    |                         ^^^^^
    |
help: consider importing this macro
    |
384 +     use core::panic;
    |

error: cannot find macro `panic` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:798:29
    |
798 |                     None => panic!("Lazy instance has previously been poisoned"),
    |                             ^^^^^
    |
help: consider importing this macro
    |
384 +     use core::panic;
    |

error: cannot find macro `unreachable` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:802:51
    |
802 |             this.cell.get_mut().unwrap_or_else(|| unreachable!())
    |                                                   ^^^^^^^^^^^
    |
help: consider importing this macro
    |
384 +     use core::unreachable;
    |

error: cannot find macro `panic` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1289:47
     |
1289 |                 init.take().unwrap_or_else(|| panic!("Lazy instance has previously been poisoned"))
     |                                               ^^^^^
     |
help: consider importing this macro
     |
864  +     use core::panic;
     |

error: cannot find macro `panic` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1311:25
     |
1311 |                 None => panic!("Lazy instance has previously been poisoned"),
     |                         ^^^^^
     |
help: consider importing this macro
     |
864  +     use core::panic;
     |

error: cannot find macro `panic` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1331:29
     |
1331 |                     None => panic!("Lazy instance has previously been poisoned"),
     |                             ^^^^^
     |
help: consider importing this macro
     |
864  +     use core::panic;
     |

error: cannot find macro `unreachable` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1335:51
     |
1335 |             this.cell.get_mut().unwrap_or_else(|| unreachable!())
     |                                                   ^^^^^^^^^^^
     |
help: consider importing this macro
     |
864  +     use core::unreachable;
     |

error: cannot find attribute `derive` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:13:3
   |
13 | #[derive(Debug)]
   |   ^^^^^^

error: cannot find macro `debug_assert` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:100:9
    |
100 |         debug_assert!(self.is_initialized());
    |         ^^^^^^^^^^^^
    |
help: consider importing this macro
    |
6   + use core::debug_assert;
    |

error: cannot find macro `assert_eq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:155:9
    |
155 |         assert_eq!(state, RUNNING);
    |         ^^^^^^^^^
    |
help: consider importing this macro
    |
6   + use core::assert_eq;
    |

error: cannot find macro `debug_assert` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:205:18
    |
205 |             _ => debug_assert!(false),
    |                  ^^^^^^^^^^^^
    |
help: consider importing this macro
    |
6   + use core::debug_assert;
    |

error: cannot find macro `assert` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:634:13
    |
634 |             assert!(self.set(val).is_ok(), "reentrant init");
    |             ^^^^^^
    |
help: consider importing this macro
    |
384 +     use core::assert;
    |

error: cannot find macro `debug_assert` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:997:13
    |
997 |             debug_assert!(self.0.is_initialized());
    |             ^^^^^^^^^^^^
    |
help: consider importing this macro
    |
864 +     use core::debug_assert;
    |

error: cannot find macro `debug_assert` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1164:13
     |
1164 |             debug_assert!(self.0.is_initialized());
     |             ^^^^^^^^^^^^
     |
help: consider importing this macro
     |
864  +     use core::debug_assert;
     |

error: cannot find attribute `derive` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:42:3
   |
42 | #[derive(Default, Debug)]
   |   ^^^^^^

   Compiling zerocopy v0.8.26
error: cannot find macro `assert` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:79:17
   |
79 |                 assert!(align_of::<AtomicUsize>() % align_of::<usize>() == 0);
   |                 ^^^^^^
   |
help: consider importing this macro
   |
30 + use core::assert;
   |

error: cannot find attribute `derive` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:166:3
    |
166 | #[derive(Default, Debug)]
    |   ^^^^^^

error: cannot find macro `write` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:242:9
    |
242 |         write!(f, "OnceRef({:?})", self.inner)
    |         ^^^^^
    |
help: consider importing this macro
    |
30  + use core::write;
    |

error: cannot find macro `write` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:368:13
    |
368 |             write!(f, "OnceBox({:?})", self.inner.load(Ordering::Relaxed))
    |             ^^^^^
    |
help: consider importing this macro
    |
355 +     use core::write;
    |

error[E0408]: variable `None` is not bound in all patterns
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:201:34
    |
201 |             (INCOMPLETE, None) | (RUNNING, _) => {
    |                          ----    ^^^^^^^^^^^^ pattern doesn't bind `None`
    |                          |
    |                          variable not in all patterns
    |
help: if you meant to match on unit variant `core::option::Option::None`, use the full path in the pattern
    |
201 |             (INCOMPLETE, core::option::Option::None) | (RUNNING, _) => {
    |                          ++++++++++++++++++++++

   Compiling pkg-config v0.3.32
error[E0412]: cannot find type `Option` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:24:23
   |
24 |     value: UnsafeCell<Option<T>>,
   |                       ^^^^^^ not found in this scope
   |
help: consider importing this enum
   |
6  + use core::option::Option;
   |

error[E0405]: cannot find trait `Sync` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:32:29
   |
32 | unsafe impl<T: Sync + Send> Sync for OnceCell<T> {}
   |                             ^^^^ not found in this scope
   |
help: consider importing this trait
   |
6  + use core::marker::Sync;
   |

error[E0405]: cannot find trait `Sync` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:32:16
   |
32 | unsafe impl<T: Sync + Send> Sync for OnceCell<T> {}
   |                ^^^^ not found in this scope
   |
help: consider importing this trait
   |
6  + use core::marker::Sync;
   |

error[E0405]: cannot find trait `Send` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:32:23
   |
32 | unsafe impl<T: Sync + Send> Sync for OnceCell<T> {}
   |                       ^^^^ not found in this scope
   |
help: consider importing this trait
   |
6  + use core::marker::Send;
   |

error[E0405]: cannot find trait `Send` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:33:22
   |
33 | unsafe impl<T: Send> Send for OnceCell<T> {}
   |                      ^^^^ not found in this scope
   |
help: consider importing this trait
   |
6  + use core::marker::Send;
   |

error[E0405]: cannot find trait `Send` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:33:16
   |
33 | unsafe impl<T: Send> Send for OnceCell<T> {}
   |                ^^^^ not found in this scope
   |
help: consider importing this trait
   |
6  + use core::marker::Send;
   |

error[E0425]: cannot find value `None` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:40:82
   |
40 |         OnceCell { queue: AtomicPtr::new(INCOMPLETE_PTR), value: UnsafeCell::new(None) }
   |                                                                                  ^^^^ not found in this scope
   |
help: consider importing this unit variant
   |
6  + use core::option::Option::None;
   |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:44:80
   |
44 |         OnceCell { queue: AtomicPtr::new(COMPLETE_PTR), value: UnsafeCell::new(Some(value)) }
   |                                                                                ^^^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::option::Option::Some;
   |

error[E0405]: cannot find trait `FnOnce` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:63:12
   |
63 |         F: FnOnce() -> Result<T, E>,
   |            ^^^^^^ not found in this scope
   |
help: consider importing this trait
   |
6  + use core::ops::FnOnce;
   |

error[E0412]: cannot find type `Result` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:63:24
   |
63 |         F: FnOnce() -> Result<T, E>,
   |                        ^^^^^^ not found in this scope
   |
help: consider importing one of these items
   |
6  + use core::fmt::Result;
   |
6  + use core::result::Result;
   |
6  + use alloc::fmt::Result;
   |

error[E0412]: cannot find type `Result` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:61:52
   |
61 |     pub(crate) fn initialize<F, E>(&self, f: F) -> Result<(), E>
   |                                                    ^^^^^^ not found in this scope
   |
help: consider importing one of these items
   |
6  + use core::fmt::Result;
   |
6  + use core::result::Result;
   |
6  + use alloc::fmt::Result;
   |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:65:21
   |
65 |         let mut f = Some(f);
   |                     ^^^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::option::Option::Some;
   |

error[E0412]: cannot find type `Result` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:66:22
   |
66 |         let mut res: Result<(), E> = Ok(());
   |                      ^^^^^^ not found in this scope
   |
help: consider importing one of these items
   |
6  + use core::fmt::Result;
   |
6  + use core::result::Result;
   |
6  + use alloc::fmt::Result;
   |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:66:38
   |
66 |         let mut res: Result<(), E> = Ok(());
   |                                      ^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::result::Result::Ok;
   |

error[E0412]: cannot find type `Option` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:67:24
   |
67 |         let slot: *mut Option<T> = self.value.get();
   |                        ^^^^^^ not found in this scope
   |
help: consider importing this enum
   |
6  + use core::option::Option;
   |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:70:13
   |
70 |             Some(&mut || {
   |             ^^^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::option::Option::Some;
   |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:73:21
   |
73 |                     Ok(value) => {
   |                     ^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::result::Result::Ok;
   |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:74:42
   |
74 |                         unsafe { *slot = Some(value) };
   |                                          ^^^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::option::Option::Some;
   |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:77:21
   |
77 |                     Err(err) => {
   |                     ^^^ not found in this scope
   |
help: consider importing this tuple variant
   |
6  + use core::result::Result::Err;
   |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:78:31
   |
78 |                         res = Err(err);
   |                               ^^^
   |
help: a local variable with a similar name exists
   |
78 -                         res = Err(err);
78 +                         res = err(err);
   |
help: consider importing this tuple variant
   |
6  + use core::result::Result::Err;
   |

error[E0425]: cannot find value `None` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:89:41
   |
89 |         initialize_or_wait(&self.queue, None);
   |                                         ^^^^ not found in this scope
   |
help: consider importing this unit variant
   |
6  + use core::option::Option::None;
   |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:107:41
    |
107 |     pub(crate) fn get_mut(&mut self) -> Option<&mut T> {
    |                                         ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
6   + use core::option::Option;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:115:39
    |
115 |     pub(crate) fn into_inner(self) -> Option<T> {
    |                                       ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
6   + use core::option::Option;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:139:18
    |
139 |     thread: Cell<Option<Thread>>,
    |                  ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
6   + use core::option::Option;
    |

error[E0405]: cannot find trait `Drop` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:150:6
    |
150 | impl Drop for Guard<'_> {
    |      ^^^^ not found in this scope
    |
help: consider importing this trait
    |
6   + use core::ops::Drop;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:177:60
    |
177 | fn initialize_or_wait(queue: &AtomicPtr<Waiter>, mut init: Option<&mut dyn FnMut() -> bool>) {
    |                                                            ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
6   + use core::option::Option;
    |

error[E0405]: cannot find trait `FnMut` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:177:76
    |
177 | fn initialize_or_wait(queue: &AtomicPtr<Waiter>, mut init: Option<&mut dyn FnMut() -> bool>) {
    |                                                                            ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
6   + use core::ops::FnMut;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:184:26
    |
184 |             (INCOMPLETE, Some(init)) => {
    |                          ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
6   + use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:191:24
    |
191 |                 if let Err(new_queue) = exchange {
    |                        ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
6   + use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:214:31
    |
214 |             thread: Cell::new(Some(thread::current())),
    |                               ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
6   + use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:226:16
    |
226 |         if let Err(new_queue) = exchange {
    |                ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
6   + use core::result::Result::Err;
    |

error[E0405]: cannot find trait `Sized` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:250:12
    |
250 |         T: Sized,
    |            ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
246 +     use core::marker::Sized;
    |

error[E0405]: cannot find trait `Sized` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:262:12
    |
262 |         T: Sized,
    |            ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
246 +     use core::marker::Sized;
    |

error[E0405]: cannot find trait `Sized` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:283:12
    |
283 |         T: Sized,
    |            ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
246 +     use core::marker::Sized;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/imp_std.rs:281:52
    |
281 |     pub(crate) fn map_addr<T>(ptr: *mut T, f: impl FnOnce(usize) -> usize) -> *mut T
    |                                                    ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
246 +     use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:413:27
    |
413 |         inner: UnsafeCell<Option<T>>,
    |                           ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0405]: cannot find trait `Default` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:423:13
    |
423 |     impl<T> Default for OnceCell<T> {
    |             ^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::default::Default;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:432:17
    |
432 |                 Some(v) => f.debug_tuple("OnceCell").field(v).finish(),
    |                 ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0405]: cannot find trait `Clone` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:438:20
    |
438 |     impl<T: Clone> Clone for OnceCell<T> {
    |                    ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::clone::Clone;
    |

error[E0405]: cannot find trait `Clone` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:438:13
    |
438 |     impl<T: Clone> Clone for OnceCell<T> {
    |             ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::clone::Clone;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:441:17
    |
441 |                 Some(value) => OnceCell::with_value(value.clone()),
    |                 ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:448:18
    |
448 |                 (Some(this), Some(source)) => this.clone_from(source),
    |                  ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
